City,Year,Season,Games
Barcelona,1992,Summer,1992 Summer
London,2012,Summer,2012 Summer
Calgary,1988,Winter,1988 Winter
Albertville,1992,Winter,1992 Winter
Lillehammer,1994,Winter,1994 Winter
Salt Lake City,2002,Winter,2002 Winter
Lake Placid,1980,Winter,1980 Winter
Sydney,2000,Summer,2000 Summer
Atlanta,1996,Summer,1996 Summer
Sochi,2014,Winter,2014 Winter
London,1948,Summer,1948 Summer
Helsinki,1952,Summer,1952 Summer
Nagano,1998,Winter,1998 Winter
Torino,2006,Winter,2006 Winter
Rio de Janeiro,2016,Summer,2016 Summer
Athina,2004,Summer,2004 Summer
Berlin,1936,Summer,1936 Summer
Melbourne,1956,Summer,1956 Summer
Roma,1960,Summer,1960 Summer
Antwerpen,1920,Summer,1920 Summer
Paris,1924,Summer,1924 Summer
Amsterdam,1928,Summer,1928 Summer
Beijing,2008,Summer,2008 Summer
Montreal,1976,Summer,1976 Summer
Seoul,1988,Summer,1988 Summer
Mexico City,1968,Summer,1968 Summer
Moskva,1980,Summer,1980 Summer
Los Angeles,1984,Summer,1984 Summer
Munich,1972,Summer,1972 Summer
Tokyo,1964,Summer,1964 Summer
Vancouver,2010,Winter,2010 Winter
Innsbruck,1964,Winter,1964 Winter
Grenoble,1968,Winter,1968 Winter
Sapporo,1972,Winter,1972 Winter
Innsbruck,1976,Winter,1976 Winter
Chamonix,1924,Winter,1924 Winter
Stockholm,1912,Summer,1912 Summer
Sarajevo,1984,Winter,1984 Winter
Lake Placid,1932,Winter,1932 Winter
Garmisch-Partenkirchen,1936,Winter,1936 Winter
Sankt Moritz,1928,Winter,1928 Winter
London,1908,Summer,1908 Summer
Los Angeles,1932,Summer,1932 Summer
