SportID,Sport
1,Basketball
2,Judo
3,Speed Skating
4,Cross Country Skiing
5,Ice Hockey
6,Badminton
7,Sailing
8,Gymnastics
9,Athletics
10,Alpine Skiing
11,Weightlifting
12,Wrestling
13,Rowing
14,Bobsleigh
15,Swimming
16,Football
17,Equestrianism
18,Shooting
19,Taekwondo
20,Boxing
21,Fencing
22,Diving
23,Canoeing
24,Handball
25,Water Polo
26,Tennis
27,Cycling
28,Hockey
29,Figure Skating
30,Softball
31,Archery
32,Volleyball
33,Synchronized Swimming
34,Modern Pentathlon
35,Table Tennis
36,Nordic Combined
37,Baseball
38,Rhythmic Gymnastics
39,Freestyle Skiing
40,Biathlon
41,Trampolining
42,Beach Volleyball
43,Triathlon
44,Rugby Sevens
45,Ski Jumping
